agreement_state,insurance_type,annual_premium,sum_insured,date_of_birth,issue_date,premium_payment_term,insurance_term,technical_start,debt,insured_person,issuing_company,surrender_value,non_invested_founds,max_available_withdrawal,value_of_emergency_insurance,value_of_personal_account,valid_until,eligible_persons
new,whole_of_life,11457.78,229155.6,1989-04-16,2027-10-12,10,9999,2027-10-24,0.0,Daniel Medina,Company D,0.0,0,0.0,3500,0,99999,Erika Dillon
paid_up,endowment,7230.31,506121.7,2006-06-16,2040-02-15,35,40,2040-02-18,0.0,Debra Robertson,Company B,177142.6,0,177142.6,6000,0,2080-02-08,Corey Brown
paid_up,endowment,4343.84,165065.92,1992-06-02,2032-11-02,19,6,2032-11-27,0.0,Heather Young,Company B,57773.07,0,57773.07,6500,0,2038-11-26,Gabriel Kennedy
paid_up,endowment,10189.87,407594.8,1980-04-25,2021-12-02,20,29,2021-12-23,0.0,Tracy Rogers,Company D,142658.18,0,142658.18,16000,0,2050-12-16,Thomas Johnson
closed,term_insurance,1421.18,22738.88,1972-01-11,2003-05-12,8,21,2003-05-25,284.24,Michael Hoffman,Company B,0.0,0,0.0,17500,0,2024-01-31T00:00:00,Susan Smith
closed,annuity,11164.91,11723.16,2002-07-13,2049-05-19,5,40,2049-05-21,1860.82,Bryan Harris,Company A,0.0,0,0.0,14500,0,2024-01-31T00:00:00,Julie Reyes
new,whole_of_life,5839.87,221915.06,1960-08-11,1998-09-28,19,9999,1998-10-18,1167.97,Cody Pearson,Company B,0.0,0,0.0,13000,0,99999,Victoria Adams
closed,term_insurance,9151.63,347761.94,1978-05-18,2022-10-14,19,32,2022-10-29,9151.63,Aaron Diaz,Company A,0.0,0,0.0,16500,0,2024-01-31T00:00:00,Robert Thompson
new,annuity,11768.58,12357.01,1980-09-14,2021-03-08,30,29,2021-03-22,5884.29,Darren Villanueva,Company A,282445.92,0,282445.92,3500,0,2050-03-15,Dr. Trevor Miranda
new,UL_endowment,4527.71,153942.14,1974-03-03,2019-09-15,17,25,2019-09-27,2263.86,Elizabeth Griffin,Company B,53879.75,0,53879.75,17500,0,2044-09-20,Bethany Taylor
paid_up,term_insurance,8144.13,570089.1,1949-04-01,1973-12-28,35,31,1974-01-02,0.0,Shannon Kelly,Company A,0.0,0,0.0,3500,0,2004-12-25,Dr. Matthew White
closed,endowment,1873.83,108682.14,1966-02-25,2004-08-31,29,47,2004-09-09,468.46,Sarah Myers,Company B,0.0,0,0.0,13000,0,2024-01-31T00:00:00,Marie Miller
new,endowment,10118.96,708327.2,1992-07-13,2013-06-16,35,19,2013-06-20,1686.49,Vanessa Rogers,Company D,247914.52,0,247914.52,5000,0,2032-06-15,David Velazquez
new,endowment,8116.21,519437.44,1972-06-15,2017-04-29,32,43,2017-05-13,2029.05,Kenneth Garcia,Company D,181803.1,0,181803.1,19000,0,2060-05-02,Alan Bowen
paid_up,whole_of_life,6668.97,386800.26,1948-11-24,1973-11-13,29,9999,1973-11-18,0.0,Deborah Walls,Company B,0.0,0,0.0,6000,0,99999,James Wiley
declined,endowment,10333.61,702685.48,1997-07-24,2031-06-06,34,30,2031-06-11,2066.72,Mr. Daniel Hampton,Company A,0.0,0,0.0,4500,0,2061-06-03,Alicia Browning
declined,whole_of_life,11717.12,703027.2,1998-05-24,2041-05-27,30,9999,2041-06-02,0.0,Aaron Owen,Company A,0.0,0,0.0,17000,0,99999,Bryan Cummings
closed,term_insurance,6792.62,434727.68,1976-03-09,2024-10-01,32,17,2024-10-18,6792.62,Patrick Johnson,Company B,0.0,0,0.0,8500,0,2024-01-31T00:00:00,Samuel Ferguson
new,whole_of_life,10918.64,240210.08,1994-06-16,2041-04-01,11,9999,2041-04-24,0.0,Mr. Jonathan Villegas Jr.,Company B,0.0,0,0.0,19500,0,99999,Miranda Price
closed,term_insurance,2003.82,32061.12,1952-01-16,1977-11-05,8,16,1977-11-09,0.0,Lori Wise,Company D,0.0,0,0.0,5000,0,2024-01-31T00:00:00,Ronald Johnson
new,UL_endowment,10320.44,701789.92,1986-05-11,2020-07-17,34,5,2020-07-26,0.0,Ryan Miller,Company A,245626.47,0,245626.47,13000,0,2025-07-25,Kevin Stone
closed,UL_endowment,4706.25,122362.5,1998-01-07,2021-04-13,13,36,2021-04-27,0.0,Katherine Smith,Company D,0.0,0,0.0,5000,0,2024-01-31T00:00:00,Brian Anderson
paid_up,endowment,10943.25,481503.0,1967-10-22,1989-09-03,22,29,1989-10-01,10943.25,Sara Taylor,Company B,168526.05,0,168526.05,16500,0,2018-09-24,Sheila Goodman
closed,UL_endowment,3664.24,117255.68,1953-01-16,1982-12-30,16,43,1983-01-09,0.0,Stephanie Neal,Company C,0.0,0,0.0,13500,0,2024-01-31T00:00:00,Luis Hanna
closed,whole_of_life,5851.2,304262.4,1957-12-15,2007-08-21,26,9999,2007-09-11,5851.2,Kathleen Barker,Company D,0.0,0,0.0,12500,0,99999,Beverly Brooks
new,term_insurance,11895.78,666163.68,1999-03-07,2028-07-27,28,50,2028-07-30,0.0,Kristina Mitchell,Company B,0.0,0,0.0,18000,0,2078-07-18,Alexandra Edwards
new,endowment,6234.68,99754.88,1959-07-27,2008-12-01,8,9,2008-12-24,3117.34,Jessica Ramirez,Company B,34914.21,0,34914.21,20000,0,2017-12-22,Anthony Hernandez
declined,annuity,4932.54,5179.17,1952-02-22,1978-01-10,8,44,1978-02-07,0.0,Brittney Hammond,Company D,0.0,0,0.0,13500,0,2022-01-27,Joshua Smith
declined,term_insurance,10798.04,302345.12,2001-07-15,2022-04-04,14,43,2022-04-20,0.0,Ricardo Browning,Company C,0.0,0,0.0,19500,0,2065-04-09,Jeremiah Leblanc
closed,term_insurance,5950.36,368922.32,1990-11-02,2034-11-18,31,9,2034-12-03,2975.18,Angela Price,Company B,0.0,0,0.0,6500,0,2024-01-31T00:00:00,Joseph Bowers
closed,whole_of_life,8775.03,351001.2,1965-02-14,1996-06-15,20,9999,1996-07-03,2925.01,Brett Miranda,Company C,0.0,0,0.0,15500,0,99999,Matthew Gallegos
paid_up,UL_endowment,1325.93,37126.04,1958-08-23,1988-01-20,14,33,1988-02-15,265.19,Craig Mitchell,Company D,12994.11,0,12994.11,8500,0,2021-02-06,Jack Oliver
new,whole_of_life,11261.19,563059.5,1984-11-12,2029-10-22,25,9999,2029-11-17,0.0,Nicholas Taylor,Company B,0.0,0,0.0,5500,0,99999,Jeremy Miller
closed,term_insurance,6976.4,488348.0,2000-09-08,2048-04-14,35,6,2048-05-11,0.0,Loretta Brown,Company A,0.0,0,0.0,6000,0,2024-01-31T00:00:00,Madison George
closed,annuity,10413.4,10934.07,1991-09-06,2021-04-25,26,42,2021-04-30,10413.4,Michelle Wilson,Company A,0.0,0,0.0,5000,0,2024-01-31T00:00:00,Jamie Lee
closed,UL_endowment,2058.02,78204.76,1976-11-05,2005-08-25,19,47,2005-09-19,514.5,Ryan Rodriguez,Company D,0.0,0,0.0,8000,0,2024-01-31T00:00:00,Madison Austin
new,annuity,6415.67,6736.45,1993-07-07,2040-08-19,19,42,2040-08-25,2138.56,Michael Cross,Company D,97518.18,0,97518.18,19000,0,2082-08-15,Michael Banks
paid_up,annuity,2169.32,2277.79,1950-08-13,1999-01-09,7,50,1999-01-15,542.33,Jesse Holt,Company D,12148.19,0,12148.19,13500,0,2049-01-02,Hannah Sanders
closed,endowment,10348.18,124178.16,1985-06-05,2025-01-19,6,29,2025-02-04,0.0,Anna Gonzalez,Company D,0.0,0,0.0,8500,0,2024-01-31T00:00:00,Julie Reese
declined,endowment,3540.08,77881.76,1965-01-12,1990-11-06,11,7,1990-11-18,1180.03,Shannon Norton,Company A,0.0,0,0.0,10000,0,1997-11-16,Melissa Carter
paid_up,UL_endowment,11196.08,761333.44,1967-05-27,1988-11-11,34,47,1988-11-19,0.0,Kevin Huber,Company A,266466.7,0,266466.7,19000,0,2035-11-08,Chad Meyer
declined,endowment,10096.37,424047.54,2000-04-21,2023-04-18,21,33,2023-04-19,5048.19,Lori Martinez,Company D,0.0,0,0.0,11500,0,2056-04-10,Matthew Patterson
declined,endowment,10059.08,261536.08,1983-06-03,2032-11-01,13,46,2032-11-14,3353.03,Margaret Guerra,Company D,0.0,0,0.0,12500,0,2078-11-03,Phillip Vargas
declined,endowment,4729.23,47292.3,1967-02-14,1998-12-24,5,43,1999-01-10,1182.31,James Gilmore,Company A,0.0,0,0.0,13000,0,2041-12-30,John Osborne
new,annuity,10756.99,11294.84,1956-12-08,1976-12-27,10,50,1977-01-06,1792.83,Brandon Hopkins,Company D,86055.92,0,86055.92,14000,0,2026-12-25,Donald Wilson
paid_up,endowment,3172.37,107860.58,1952-02-22,1988-08-22,17,7,1988-09-04,1586.18,Alex Madden,Company C,37751.2,0,37751.2,8500,0,1995-09-03,Bryan Doyle
closed,endowment,2240.3,67209.0,1998-02-14,2032-07-16,15,21,2032-07-21,448.06,Mitchell Parker,Company D,0.0,0,0.0,18000,0,2024-01-31T00:00:00,Natasha Gay
paid_up,annuity,1707.65,1793.03,1990-12-19,2037-05-07,19,38,2037-06-04,0.0,Brian Wheeler,Company C,25956.28,0,25956.28,10000,0,2075-05-26,Stephen Arias
closed,UL_endowment,1511.82,93732.84,1986-06-29,2034-02-13,31,25,2034-03-06,0.0,Robert Ortiz,Company C,0.0,0,0.0,5000,0,2024-01-31T00:00:00,Brian Sutton
new,endowment,2231.92,129451.36,1957-07-15,1983-05-10,29,22,1983-06-09,0.0,Allison Robinson,Company A,45307.98,0,45307.98,6500,0,2005-06-03,William Berry
closed,annuity,1611.39,1691.96,1950-08-06,1984-02-02,25,17,1984-03-03,0.0,Trevor Jacobs,Company A,0.0,0,0.0,14500,0,2024-01-31T00:00:00,Karen Stephens
new,whole_of_life,9999.5,539973.0,1998-01-06,2038-12-06,27,9999,2038-12-19,0.0,Gloria Burns,Company A,0.0,0,0.0,16000,0,99999,Daniel Smith
new,whole_of_life,4705.07,282304.2,1968-07-09,1996-08-12,30,9999,1996-08-15,4705.07,Ashley Santiago,Company C,0.0,0,0.0,9500,0,99999,Annette Hansen MD
declined,endowment,3369.44,235860.8,1994-07-07,2035-10-29,35,48,2035-11-12,0.0,Erica Murray,Company A,0.0,0,0.0,10500,0,2083-10-31,Gloria Dawson
new,annuity,5316.78,5582.62,1967-01-21,1995-06-28,33,25,1995-07-06,5316.78,Paul Ford,Company B,140362.99,0,140362.99,6500,0,2020-06-29,Jennifer Liu
closed,annuity,10873.39,11417.06,1982-11-05,2028-07-28,31,12,2028-08-04,0.0,Shawn Stone,Company A,0.0,0,0.0,6000,0,2024-01-31T00:00:00,David Hernandez
declined,annuity,2767.44,2905.81,1960-12-09,2003-03-03,10,39,2003-03-08,461.24,Latasha Campbell,Company D,0.0,0,0.0,19000,0,2042-02-26,Taylor Lee
declined,UL_endowment,7409.53,133371.54,1967-07-05,1989-12-25,9,14,1990-01-21,3704.76,Brent Ball,Company B,0.0,0,0.0,15000,0,2004-01-18,Dana Price MD
closed,whole_of_life,3266.06,137174.52,1993-09-04,2022-09-02,21,9999,2022-09-19,544.34,Kevin Rush,Company A,0.0,0,0.0,12500,0,99999,Robin Clark
new,whole_of_life,4403.58,193757.52,1997-11-15,2026-08-29,22,9999,2026-09-17,0.0,Seth Lee,Company B,0.0,0,0.0,2500,0,99999,Susan Hurst
paid_up,annuity,3358.47,3526.39,1982-09-17,2028-09-22,7,35,2028-10-08,0.0,Joshua Gilbert,Company A,18807.43,0,18807.43,14000,0,2063-09-30,Jessica Hamilton
new,UL_endowment,6280.56,326589.12,1994-10-01,2025-12-11,26,36,2025-12-23,1256.11,Robert Flowers,Company B,114306.19,0,114306.19,13500,0,2061-12-14,Stephen Davis
closed,annuity,10998.09,11547.99,1983-04-01,2009-09-12,20,38,2009-10-06,0.0,Tyler Cox PhD,Company D,0.0,0,0.0,16500,0,2024-01-31T00:00:00,Mike Nicholson
declined,UL_endowment,6542.74,78512.88,1989-01-05,2017-02-01,6,11,2017-02-16,0.0,Stephen Gonzalez,Company C,0.0,0,0.0,9000,0,2028-02-14,Jeffrey Ramirez
declined,endowment,6959.38,445400.32,1974-04-02,2010-01-31,32,9,2010-02-03,1159.9,Lindsey Williams,Company C,0.0,0,0.0,7500,0,2019-02-01,Martin Payne MD
declined,UL_endowment,6264.68,125293.6,1966-01-08,2015-04-22,10,22,2015-05-11,3132.34,Dustin House,Company C,0.0,0,0.0,11000,0,2037-05-05,Tyrone Dunn
new,UL_endowment,9172.89,146766.24,1952-02-11,1996-01-14,8,43,1996-01-18,4586.44,Carla Fleming,Company A,51368.18,0,51368.18,17500,0,2039-01-07,Cassandra Carroll
new,annuity,9292.1,9756.7,1957-04-10,2003-12-18,10,39,2003-12-19,0.0,Austin Wright,Company C,74336.8,0,74336.8,15000,0,2042-12-09,Chelsey Jones
closed,whole_of_life,9004.2,450210.0,1986-06-12,2006-10-04,25,9999,2006-11-02,1800.84,Yvonne Smith,Company C,0.0,0,0.0,13500,0,99999,Christina Rose
new,term_insurance,4845.16,193806.4,1986-01-19,2022-06-11,20,5,2022-07-04,0.0,Karen Ball,Company A,0.0,0,0.0,18500,0,2027-07-03,John Fuller
new,endowment,2740.43,98655.48,2000-08-25,2046-12-19,18,28,2047-01-14,456.74,Laura Brewer,Company A,34529.42,0,34529.42,15000,0,2075-01-07,Ana Allen
declined,whole_of_life,7885.64,252340.48,2000-03-12,2032-07-02,16,9999,2032-07-31,1577.13,Rhonda Sanchez,Company D,0.0,0,0.0,14000,0,99999,Dawn Burns
closed,annuity,4862.18,5105.29,1995-01-11,2042-01-15,9,31,2042-02-01,0.0,Veronica Rodriguez,Company A,0.0,0,0.0,10000,0,2024-01-31T00:00:00,Mitchell Lewis
new,UL_endowment,3140.59,50249.44,2003-09-11,2032-09-24,8,35,2032-09-28,523.43,Eric Valentine,Company A,17587.3,0,17587.3,16000,0,2067-09-20,Vickie Lopez
declined,term_insurance,4607.25,193504.5,1974-12-12,2017-10-03,21,31,2017-10-20,1151.81,Caitlin Smith,Company A,0.0,0,0.0,7500,0,2048-10-12,Nicholas David
new,endowment,10953.79,219075.8,2003-04-19,2032-04-29,10,18,2032-05-17,10953.79,Bobby Mcclure,Company B,76676.53,0,76676.53,10500,0,2050-05-13,Jennifer Pittman
declined,endowment,6153.48,135376.56,1968-10-27,1990-01-16,11,22,1990-01-24,0.0,Carolyn Foley,Company B,0.0,0,0.0,17500,0,2012-01-19,Christina Smith
declined,whole_of_life,9228.08,295298.56,1998-02-10,2038-07-06,16,9999,2038-07-18,1538.01,Nancy Johnson,Company D,0.0,0,0.0,16000,0,99999,Joseph Byrd
new,UL_endowment,6539.79,91557.06,1959-02-24,1998-10-25,7,9,1998-11-24,1307.96,Emma Krause,Company A,32044.97,0,32044.97,10500,0,2007-11-22,Jeffrey Patterson
new,whole_of_life,6200.35,272815.4,1974-03-23,2005-12-31,22,9999,2006-01-22,0.0,Allison Wolfe,Company B,0.0,0,0.0,9000,0,99999,Ms. Brittany Moses
new,annuity,7952.36,8349.98,1981-02-10,2025-06-16,14,25,2025-06-20,1988.09,Lisa Roberts,Company C,89066.43,0,89066.43,6000,0,2050-06-14,Michelle Romero
new,UL_endowment,6892.3,413538.0,1973-10-29,2009-03-24,30,21,2009-04-16,0.0,Marcus Howard,Company B,144738.3,0,144738.3,19000,0,2030-04-11,Mitchell Thornton
declined,whole_of_life,11682.25,677570.5,1985-09-17,2009-03-21,29,9999,2009-03-29,2336.45,Betty Smith,Company D,0.0,0,0.0,6500,0,99999,Sarah Hunt
closed,UL_endowment,4115.85,139938.9,2006-07-07,2032-09-12,17,47,2032-10-08,0.0,Dale Garcia,Company A,0.0,0,0.0,14500,0,2024-01-31T00:00:00,Melanie Brooks
new,whole_of_life,7353.27,205891.56,1993-04-28,2030-08-01,14,9999,2030-08-19,1470.65,Paul Johnson,Company D,0.0,0,0.0,19500,0,99999,Michael Deleon
new,annuity,10288.98,10803.43,1952-11-18,2000-03-28,26,6,2000-04-15,10288.98,Mariah Jacobs,Company A,214010.78,0,214010.78,18000,0,2006-04-14,Erin Reese
new,term_insurance,1932.69,135288.3,1989-10-03,2029-05-26,35,39,2029-06-19,322.12,Jill Woodward,Company A,0.0,0,0.0,10000,0,2068-06-09,Lacey Mccoy
new,whole_of_life,10544.4,611575.2,1987-01-21,2032-05-05,29,9999,2032-05-30,10544.4,Kelly Zimmerman,Company A,0.0,0,0.0,14000,0,99999,Kaitlyn Wallace
new,term_insurance,10061.04,462807.84,1973-09-24,2020-10-08,23,21,2020-10-11,0.0,Ryan Wilson,Company B,0.0,0,0.0,14000,0,2041-10-06,April Hernandez
paid_up,whole_of_life,10302.21,494506.08,1989-12-30,2027-12-09,24,9999,2027-12-30,0.0,Dustin Sherman,Company C,0.0,0,0.0,9000,0,99999,Kimberly Smith
closed,annuity,2768.8,2907.24,1964-01-31,1994-01-14,6,13,1994-01-26,692.2,Linda Hopkins,Company B,0.0,0,0.0,20000,0,2024-01-31T00:00:00,Nicholas Finley
new,whole_of_life,7175.3,114804.8,1981-11-20,2006-09-07,8,9999,2006-10-06,0.0,Jamie Campbell,Company B,0.0,0,0.0,16500,0,99999,Amy Wilson
closed,annuity,8901.97,9347.07,1975-07-17,2007-01-19,20,36,2007-02-07,2967.32,John Tyler,Company A,0.0,0,0.0,4000,0,2024-01-31T00:00:00,Lisa Mcguire
new,whole_of_life,8538.13,529364.06,2003-04-05,2042-01-06,31,9999,2042-01-22,4269.06,Kimberly Mclean,Company D,0.0,0,0.0,14500,0,99999,Courtney Meyers
new,UL_endowment,8333.25,283330.5,1970-07-20,1997-11-08,17,37,1997-12-01,0.0,Teresa Finley,Company C,99165.67,0,99165.67,12000,0,2034-11-22,Valerie Lee
new,whole_of_life,8628.69,431434.5,1981-02-02,2027-05-17,25,9999,2027-06-13,2876.23,Sherri Price,Company C,0.0,0,0.0,19000,0,99999,Craig Strickland
paid_up,UL_endowment,2103.84,29453.76,1989-07-18,2013-03-19,7,10,2013-03-29,350.64,Ryan Watson,Company B,10308.82,0,10308.82,15500,0,2023-03-27,Kyle Castillo
paid_up,term_insurance,4809.09,327018.12,1975-05-12,2014-01-06,34,15,2014-02-02,961.82,Steven Luna,Company C,0.0,0,0.0,6500,0,2029-01-29,Mrs. Jessica Cisneros
new,term_insurance,8677.46,347098.4,1962-10-17,2006-08-26,20,21,2006-09-07,0.0,Stephen Weber,Company C,0.0,0,0.0,13500,0,2027-09-02,Kari Wilson
new,annuity,1963.66,2061.84,1962-04-17,1995-08-12,13,14,1995-08-20,981.83,Stephen Miller,Company C,20422.06,0,20422.06,19500,0,2009-08-16,Derrick Simmons
new,whole_of_life,2174.38,47836.36,2005-06-11,2054-10-02,11,9999,2054-10-18,0.0,Jaime Martin,Company A,0.0,0,0.0,5000,0,99999,Nicole Reese
new,annuity,3974.35,4173.07,1999-03-07,2027-08-11,19,14,2027-08-29,1987.17,Thomas Day,Company D,60410.12,0,60410.12,16500,0,2041-08-25,Lisa Moore
declined,endowment,9255.24,499782.96,1986-02-10,2029-06-15,27,44,2029-06-22,1851.05,Amanda Olson,Company A,0.0,0,0.0,19000,0,2073-06-11,Victoria Hamilton
declined,endowment,6132.89,404770.74,1994-10-05,2032-04-07,33,22,2032-04-17,0.0,Diane Patterson,Company B,0.0,0,0.0,15000,0,2054-04-12,Heather Mills
new,whole_of_life,8574.69,394435.74,1995-04-13,2025-02-09,23,9999,2025-03-09,0.0,Amanda Johnson,Company C,0.0,0,0.0,17000,0,99999,Joel Foster
closed,annuity,2298.07,2412.97,1991-02-05,2014-08-04,8,29,2014-08-14,0.0,Dana Franklin,Company B,0.0,0,0.0,18000,0,2024-01-31T00:00:00,Tiffany Goodwin
new,term_insurance,8651.69,380674.36,1978-01-20,2014-02-03,22,26,2014-02-05,0.0,Richard Clark,Company C,0.0,0,0.0,11000,0,2040-01-30,William Long
paid_up,whole_of_life,10883.83,653029.8,2005-04-18,2041-07-01,30,9999,2041-07-12,1813.97,Troy Simmons,Company A,0.0,0,0.0,8000,0,99999,Marc Smith
paid_up,endowment,2099.79,29397.06,1953-12-16,1980-12-26,7,44,1981-01-12,0.0,Cory Hernandez,Company D,10288.97,0,10288.97,17000,0,2025-01-01,Craig Lopez
new,endowment,1353.13,24356.34,1971-10-01,2010-05-15,9,40,2010-06-02,1353.13,Timothy Cook,Company A,8524.72,0,8524.72,18500,0,2050-05-23,Ariel Smith
paid_up,annuity,5279.13,5543.09,1959-09-15,1994-01-19,34,25,1994-01-21,0.0,Zoe Stewart,Company A,143592.34,0,143592.34,19000,0,2019-01-15,Maria Clements
declined,UL_endowment,4196.69,285374.92,1984-12-19,2023-09-14,34,40,2023-09-26,0.0,Lauren Phillips,Company B,0.0,0,0.0,19500,0,2063-09-16,Cathy Anderson
paid_up,UL_endowment,7021.98,224703.36,1964-06-01,1990-01-09,16,17,1990-01-10,0.0,Elizabeth Clements,Company B,78646.18,0,78646.18,19500,0,2007-01-06,William Brown
declined,UL_endowment,2060.6,98908.8,1955-07-20,1978-07-14,24,42,1978-08-13,0.0,Joseph Hernandez,Company C,0.0,0,0.0,11000,0,2020-08-02,Cesar Dorsey
declined,term_insurance,6439.72,347744.88,1955-05-02,1997-07-09,27,38,1997-07-26,0.0,Vickie Jenkins,Company A,0.0,0,0.0,13500,0,2035-07-17,Leah Love
declined,term_insurance,3385.75,203145.0,1967-01-31,2003-10-10,30,9,2003-10-27,0.0,Ryan Davis,Company D,0.0,0,0.0,16000,0,2012-10-24,Terry Woods
new,endowment,4157.18,133029.76,2003-08-15,2029-02-14,16,33,2029-02-17,1385.73,Laura Ellis,Company D,46560.42,0,46560.42,17500,0,2062-02-09,Daniel Guerrero
new,annuity,5567.91,5846.31,1949-09-02,1970-05-08,28,23,1970-05-30,0.0,Mark Moore,Company A,124721.18,0,124721.18,13500,0,1993-05-24,Ian Bridges
closed,annuity,5902.01,6197.11,2006-03-01,2040-04-17,5,17,2040-04-19,2951.01,Jose Williams,Company D,0.0,0,0.0,12000,0,2024-01-31T00:00:00,Angela Alvarez
closed,term_insurance,10135.2,689193.6,2002-04-24,2050-02-03,34,12,2050-02-06,3378.4,Jason Morgan,Company D,0.0,0,0.0,8000,0,2024-01-31T00:00:00,Tara Brown
new,annuity,2791.74,2931.33,1966-01-13,2008-01-04,15,41,2008-02-02,0.0,Gary Hensley,Company B,33500.88,0,33500.88,20000,0,2049-01-22,Stephanie Lamb
paid_up,endowment,8017.93,208466.18,1982-11-15,2011-06-22,13,21,2011-07-10,1603.59,Sherri Benjamin,Company A,72963.16,0,72963.16,9000,0,2032-07-04,Alice Edwards
new,term_insurance,9294.04,92940.4,1979-02-01,2010-09-13,5,15,2010-09-23,2323.51,John Hernandez,Company D,0.0,0,0.0,13500,0,2025-09-19,Patrick Shaffer
closed,whole_of_life,9600.54,288016.2,1996-12-05,2044-09-27,15,9999,2044-10-01,9600.54,Craig Jones,Company B,0.0,0,0.0,4000,0,99999,Stephanie Vaughan
new,endowment,5066.75,334405.5,1948-11-30,1987-10-04,33,26,1987-10-06,1266.69,Daniel Gutierrez,Company B,117041.93,0,117041.93,10500,0,2013-09-29,Edward Price
new,endowment,10091.97,403678.8,1985-10-27,2024-09-26,20,50,2024-10-20,0.0,Elizabeth Bradford,Company B,141287.58,0,141287.58,15500,0,2074-10-08,Christina Nguyen
declined,UL_endowment,11192.1,290994.6,1962-05-31,2001-08-24,13,11,2001-08-29,0.0,Felicia Herrera,Company C,0.0,0,0.0,7500,0,2012-08-26,Timothy Collins
new,annuity,1253.58,1316.26,1948-06-05,1969-09-13,32,46,1969-10-08,0.0,Charles Miller,Company C,32091.65,0,32091.65,7000,0,2015-09-27,Blake Middleton
paid_up,endowment,7308.59,292343.6,1949-07-18,1986-08-06,20,46,1986-08-29,7308.59,Ashley Cooper,Company A,102320.26,0,102320.26,9500,0,2032-08-17,Shannon Moore
paid_up,UL_endowment,7387.24,502332.32,1976-07-02,2020-09-30,34,37,2020-10-25,2462.41,Tiffany Hebert,Company D,175816.31,0,175816.31,2500,0,2057-10-16,Jacob Dunlap
new,term_insurance,5359.18,310832.44,1960-03-31,1990-10-03,29,24,1990-10-23,0.0,Timothy Bailey,Company D,0.0,0,0.0,8000,0,2014-10-17,Laura Cross
new,endowment,8472.75,237237.0,1978-01-20,1998-03-15,14,32,1998-04-14,0.0,Sean Garcia,Company B,83032.95,0,83032.95,20000,0,2030-04-06,Kristy Wolf
declined,UL_endowment,10045.89,100458.9,2003-10-06,2051-09-03,5,31,2051-09-21,5022.94,Kimberly Tyler,Company B,0.0,0,0.0,8000,0,2082-09-13,Justin Meyer
new,whole_of_life,11086.31,243898.82,1989-05-06,2012-09-02,11,9999,2012-09-22,0.0,Heather Lee,Company C,0.0,0,0.0,9500,0,99999,Barry Wong
closed,endowment,10301.72,515086.0,1979-05-30,2006-06-09,25,29,2006-07-07,5150.86,Cody Carpenter,Company C,0.0,0,0.0,19500,0,2024-01-31T00:00:00,Carl Castaneda
new,annuity,1457.42,1530.29,1973-06-05,1999-09-26,18,41,1999-10-08,0.0,Tammy Castro,Company B,20986.85,0,20986.85,14500,0,2040-09-27,April Ramos
